USERNAME,Toy Story 3 (2010),Inception (2010),Skyfall (2012),Her (2013),Parasite (2019),A Star Is Born (2018),Marriage Story (2019),Gone Girl (2014),The Nice Guys (2016),Avengers: End Game (2019),Train to Busan (2016)
adind,,5,4,,,4,,5,4,5,
adji,4,5,4,3,5,4,,,,5,
agrah,3,,,,5,,,5,2,5,5
ajeng,4,,,,,5,,5,,4,5
alfin,,,5,,4,4,,,,5,
alifr,4,,,,,,,,,5,5
ashle,4,4,2,3,5,,,3,4,1,5
budi,5,4,4,4,3,4,4,4,4,5,3
citra,,,,,4,3,5,,,5,
close,5,5,4,,,,,,,5,4
cynth,3,3,,,4,2,4,,,4,5
danan,3,,,,,,,,,5,
danar,5,4,4,,5,,,,5,5,
deran,5,,,,5,,4,3,,4,5
farha,3,,4,5,5,5,,5,,5,5
finaa,5,,3,,5,4,,,,5,
fkhad,4,,3,,4,3,,,,5,4
gilan,2,,,,5,4,,,,5,4
grita,4,2,,1,1,2,3,3,2,3,
hans,3,,,,5,,,,,5,4
hayya,4,1,1,1,,,,,,5,4
helmi,5,,5,,,5,,,,4,
indah,4,4,5,,5,4,,5,4,5,5
jeann,,,,,,,,,,4,
joanl,4,4,4,1,3,3,4,4,,5,4
khair,5,5,,,5,,4,,,5,5
khani,4,,,,5,5,4,2,4,3,5
lidwi,3,,4,,5,4,3,,,4,3
maula,4,5,5,3,5,,4,5,,5,4
mazay,3,,5,,5,,,5,,5,
meirl,4,5,,,4,,4,,,3,5
mnwi,4,4,5,,5,4,,5,4,5,4
monic,3,4,3,,5,5,,,,5,3
muham1,3,,,,,,,4,,,
muham2,,4,3,,5,3,5,,,,
muham3,4,5,4,,3,,,,,5,
nabil,,5,4,,4,4,2,,,5,4
nadia,4,5,4,,4,4,4,,3,5,
natha,3,3,4,,5,,,,,5,5
nurf,3,5,,,4,3,3,5,,,3
nurw,,,4,,,,,,,,
rahad,4,,4,3,,,,4,,4,4
ratna,5,5,4,4,5,4,4,5,,,5
reakh,4,4,5,3,5,3,3,3,3,5,
rian,5,,5,,,,,4,,5,
rizas,5,,5,,5,,,5,,4,
rizki,4,,,,,5,,,,4,
rubin,,,4,,5,3,3,4,,5,5
salsa,4,5,4,4,5,3,3,5,4,5,4
sandy,4,3,4,,4,,,,,5,4
sekar,5,,,,5,,,,,5,4
ummi,5,,,,5,4,,4,,,
winda,4,5,4,4,5,,5,5,3,4,
yacin,3,,3,,4,3,,,,4,
yusuf,5,5,5,,3,,,5,,5,5
zhafr,4,4,3,3,5,4,3,,3,5,4
